"anames"	"lowers"	"uppers"
"1"	"Overheat1"	5.00269913988117	5.99913669998399
"2"	"Spontaneous Combustion1"	22.9930135620895	26.0057705814895
"3"	"Recovery2"	0.0114419863795052	0.064620797277272
"4"	"Recovery1"	0.113264041516289	0.119229750038389
"5"	"Phantom Slash1"	6.12060459700068	6.76429238855351
"6"	"Backdraft1"	33.965011919721	37.9401512794395
"7"	"Restore1"	384.429919482521	384.429919482521
"8"	"Flame Cascade1"	12.9970604537868	13.9994871569233
"9"	"Flashpoint1"	68.0441252631436	75.051497998176
"10"	"Detonate1"	37.9655345335243	42.0080243207003
"11"	"Snuff Out2"	34.0379320293095	35.9714021658773
"12"	"Snuff Out1"	45.9977312208658	47.9992414704471
"13"	"Absorb Heat1"	34.9954112065994	38.9864095010773
"14"	"Fireburst1"	30.0007560976139	34.0039236292719
"15"	"Mass Detonation1"	99.0071621533112	110.086262898509
"16"	"Fireball2"	0.992134052485588	2.99039848803435
"17"	"Fireball1"	38.9752722410884	43.0232788346403
"18"	"Engulf1"	32.9992483496703	36.0140939236712
"19"	"Sonic Shout1"	46.4651554386294	56.0229873780013
"20"	"Standard Cross1"	NA	NA
"21"	"Wildfire1"	53.9755598177157	59.952138631522
"22"	"Sonic Cry1"	52.9685999523067	57.9883444937323
"23"	"Mesmerizing Lasso2"	7.99733179409774	8.99213470302233
"24"	"Mesmerizing Lasso1"	25.0194949969488	28.0048760929936
"25"	"Gag Glove1"	43.0998173116972	48.0090460405074
