"anames"	"lowers"	"uppers"
"1"	"Meteor Strike2"	1.00212033851771	3.00050425806251
"2"	"Meteor Strike1"	16.0028154948521	18.0087299746189
"3"	"Absorb Heat1"	39.00081629702	42.9977347787086
"4"	"Phantom Slash2"	6.12065455187343	6.76409397021234
"5"	"Phantom Slash1"	NA	NA
"6"	"Flame Cascade1"	13.9991152609188	15.9983244370803
"7"	"Restore1"	384.42991948252	384.42991948252
"8"	"Backdraft1"	38.0035942497784	42.0210855254075
"9"	"Detonate1"	40.9846414975593	46.0112889010247
"10"	"Spontaneous Combustion1"	26.0241744236466	28.0019291755869
"11"	"Snuff Out2"	33.9826033410984	35.6435466420816
"12"	"Snuff Out1"	NA	NA
"13"	"Enflame1"	6.99875302186377	7.99996682713582
"14"	"Recovery2"	0.0114445382199499	0.0531370705452382
"15"	"Recovery1"	0.0641309014863861	0.119567896779038
"16"	"Fireburst1"	33.001416983054	36.9978711841027
"17"	"Overheat1"	5.99822991381685	7.00024162508302
"18"	"Mass Detonation1"	108.962828552896	120.033510100431
"19"	"Wildfire1"	59.9894512131624	65.9751703778046
"20"	"Stoke Flames1"	3.99929673885569	4.9990740824272
"21"	"Batarang Multi-Shot1"	21.9892502039519	23.9713280339404
"22"	"Standard Cross1"	NA	NA
"23"	"Inferno1"	7.00213343383454	7.99945670888794
