"anames"	"lowers"	"uppers"
"1"	"Phantom Slash2"	6.13381768583143	6.21131561634965
"2"	"Phantom Slash1"	6.22566708496414	6.61315673755527
"3"	"Cyclone Push1"	62.9685471822187	69.0520477493018
"4"	"Terrorize2"	33.4547084872289	35.1123031122021
"5"	"Terrorize1"	46.0029272241154	48.0022604457838
"6"	"Psychic Prison1"	6.99981331073391	8.00034168512712
"7"	"Pyrokinesis1"	3.9987549409608	5.99847809589032
"8"	"Cryokinesis1"	43.0153726340717	52.0149057974842
"9"	"Restore1"	384.42991948252	384.42991948252
"10"	"Thought Bubble1"	45.9838015234684	51.0306911635972
"11"	"Telekinesis1"	6.9989859456342	7.9969130974653
"12"	"Terror Tendrils1"	51.9856166904204	56.9194141585067
