"anames"	"lowers"	"uppers"
"1"	"Flak Cannon2"	0.998300747715477	3.00130509167342
"2"	"Flak Cannon1"	36.0518169312979	40.0167073129251
"3"	"Restore1"	384.429919482521	384.429919482521
"4"	"Phantom Slash1"	6.12025777469508	6.76449074739069
"5"	"Five-Barrel Minigun1"	22.0039909208157	24.0010768697814
"6"	"Rocket Launcher1"	20.9955187765853	22.9946028205379
"7"	"Laser Net Launcher2"	0.998303061002687	2.99991711934757
"8"	"Laser Net Launcher1"	48.9417971660454	54.9873815629481
"9"	"Chain Gun1"	22.9927705840124	27.9979974032572
"10"	"Multi-Net Launcher1"	36.9837562549109	41.0179108116833
"11"	"Net Retractor1"	49.9546934283344	55.0176886054639
"12"	"Standard Cross1"	NA	NA
"13"	"Chain Grenade Launcher2"	0.998874534425423	3.00231491529334
"14"	"Chain Grenade Launcher1"	13.9946354267917	15.9984988306231
"15"	"50 Cal1"	81.9668473768803	89.9522654497734
"16"	"Particle Gun1"	18.9992187017324	21.0026297674251
"17"	"Shrapnel Grenade Launcher2"	0.998403193291909	2.99932210883026
"18"	"Shrapnel Grenade Launcher1"	21.9808687907095	23.9940609157972
"19"	"'Splosion1"	85.0674894192565	92.9797005057829
"20"	"Multi-Net Retractor1"	36.0049644600231	40.0233756720793
"21"	"Double Throw1"	NA	NA
